NUMBER,VESSEL DESIGN,CONSTRUCTION DATE,UPGRADE DATE,CLASSIFICATION,MAXIMUM WATER,DEPTH EQUIPPED,MAXIMUM WATER.1,DEPTH RATING,MAXIMUM DRILLING DEPTH,CURRENT CONTRACT,AREA OF OPERATION,TOTAL VESSEL POWER,MAX. VESSEL SPEED,QUARTERS CAPACITY,LENGTH,TRANSIT DRAFT,OPERATING DRAFT,WIDTH,MAX. VARIABLE LOAD,MOONPOOL SIZE,D.P. RATING (if applicable),THRUSTERS,SIZE of CHAIN,CHAIN GRADE,LENGTH OF CHAIN,WIRE ROPE Diameter,LENGTH of WIRE ROPE,ANCHOR SIZE,PEDESTAL CRANE 1,PEDESTAL CRANE 2,PEDESTAL CRANE 3,PEDESTAL CRANE 4,RISER HANDLING CRANE,DERRICK RATING,DERRICK MANUFACTURER,DERRICK FOOTPRINT,DRAWWORKS,drawworks,drill line size,rotary table size,IRON ROUGHNECK,top drive,HEAVE COMPENSATOR,heave compensAtION,CAPACITY,COMPENSATION TYPE,(ACTIVE/PASSIVE),PIPE RACKING SYSTEM,DRILLING,INSTRUMENTATION,5-in. DRILLPIPE,5.5-in. DRILLPIPE,6.625-in. DRILLPIPE,3.5-in. DRILLPIPE,MUD PUMPS,MUD PUMPS.1,mud pit active volume,mud pit reserve volume,Unnamed: 59,bulk storage capacity,DEDICATED COMPLETION,FLUID VOLUME,Gumbo Buster,shale shakers,desander,desilter,riser tensioner,(Total capacity ),RISER TENSIONERS,RISER TENSIONERS.1,DIVERTER SIZE,CLASS of RISER,RISER SIZE,RISER JOINT LENGTH,FLEX JOINT (Top/,Bottom or both ),RISER MANUFACTURER,RISER STORAGE MAIN,DECK or “IN HOLD”,BOP OPERATING PRESSURE,C&K LINE SIZE,RAM BOP’s,RAM BOP’s.1,ANNULAR BOP’s,ANNULAR BOP’s.1,BOP stack envelope,dimensions,Total BOP stack Wt.,(including LMRP),WELLHEAD CONNECTOR,BOP CONTROL SYSTEM,BOP CONTROL SYSTEM.1,"SHEAR 6.635"" drillpipe?",RISER HANG-OFF CAPACITY,AUX. LINE SIZE,RISER & RISER TENSIONER DATA BOP & BOP CONTROL DATA,yr. yr. society ft,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118
73,LAGUNA,STAR,DS,Samsung,10000,2011,-,ABS,10000,10000,40000,-,-,9500,1.2,-,715,138,40,-,20000,84x41,DP-3,6,-,-,-,-,-,-,85,85,85,85,10,-,NOV,-,-,NOV,2,60.5,-,NOV,HPS-03,NOV,1500,-,-,-,-,-,-,-,4,NOV,14P220,triplex,6600,6428,-,29664,-,-,1,1,1600,8,Rucker,-,H,21,90,B,NOV,-,15,-,-,-,3,Shaffer,2,-,-,-,Vetco,SHD,H4,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
-,LONE,STAR,SS,Gusto,TDS-2000,PLUS,2009,-,ABS,7880,7880,24600,-,-,-,-,140,320,230,24.5,60,6470,131x20,DP-2,8,-,-,-,-,-,-,64,64,-,-,-,2000,NOV,185x40,6000,NOV,-,60.5,-,NOV,TDS,1000A,NOV,800,A,-,-,-,-,-,-,4,NOV,14P220,triplex,4000,2200,-,-,-,4,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,ROWAN,RENAISSANCE,DS,Gusto,"P10,000",2013,-,ABS,12000,12000,40000,2Q/17,West,Africa,65000,-,210,752,118,31.2,36.1,20000,73.5x42,DP-3,6,x,6700,-,-,-,-,-,-,100,100,100,165,20,2500,-,-,"9,000/6,000",-,-,75.5,/,60.5,-,NOV,1250,-,2500,A+P,-,-,-,-,-,-,5,-,18869,incl.,7547,31783,-,-,-,-,4000,16,-,72,-,21.25,-,-,Cameron,12000,15,-,-,-,7,-,2,-,-,-,-,MUX,Cameron,-,-,,,,,,,,,,,,,,,,,,,,,,,,
-,SAIPEM,10000,DS,Samsung,Heavy,Industries,2000,,ABS,10000,10000,30000,4Q/14,West,Africa,56000,12,170,745,37,26.2,39.4,20000,126x41,DP-3,"6x5,440",,,,,,,85,85,85,85,50,2000,Bailey,60x80,4200,Wirth,2,60.5,Hydralift,Hydralift,750ZE,Hydral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,SAIPEM,12000,DS,Samsung,Heavy,Industries,2010,,ABS,12000,12000,25000,3Q/17,West,Africa,64000,12,200,745,37,27.8,39.4,20000,126x41,DP-3,"6x6,000",,,,,,,85,85,85,85,55,2000,NOV,60x80,5750,NOV,2,75.5,NOV,NOV,HPS03,1000,NOV,1000,A/P,NOV,NOV,,26000,,6500,4,NOV,14-P-220,5500,12500,,32000,Y,7,1,1,3200,16,Shaffer,21,H,21,90,T/B,Vetco,12000,15,4.5,4.5,4,6,Shaffer,2,Shaffer,17.7x19.7,880,HDH4,MUX,Shaffer,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
-,SCARABEO,5,SS,ME4500,1990,2003,ABS,6500,6500,25000,-,North,Sea,40000,10,106,265,226,29.5,77,4740,95x23,DP-3,"8x2,350",3,K-4,7900,,,16.5,60,60,,,25,1500,Dreco,40x40,3000,C-E,1.75,49.5,Varco,AR3000,Varco-TDS-4S,M-H,600,A/P,BJ,Mark,II,Sensete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,SCARABEO,7,SS,F&G,Pacesetter,GVA,1999,-,DNV,4920,4920,25000,-,-,40000,-,150,403,212,-,-,3500,81x21,-,"4x3,200",-,-,-,-,-,-,80,50,-,-,15,1500,Hydralift,40x40,3390,Wirth,-,49.5,-,Hydralift,HPS,650E,Hydralift,600,-,Hydralift,-,-,-,-,-,4,Wirth,TPK,2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,SCARABEO,8,SS,Moss,CD50,MKII,2012,,DNV,10000,10000,35000,2Q/17,North,Sea,54000,9.5,140,273,238,35,77.1,6600,118.6x37.6,DP-3,"8x4,400",3,R5,7900,,,16.5,85,85,,,35,2000,WEI,85x40,4000,NOV,2,60.5,UNITONG,NOV,HPS03,1000,NOV,1000,A/P,NOV,NOV,,20000,,3300,4,NOV,14-P-220,5600,5300,,13400,N,5,1,1,3500,6,NOV,21,H,21,75,T/B,Cameron,10000,15,4.5,4.5,4,5,Cameron,2,Cameron,"12,5x14.8",880,HDH4,MUX,Cameron,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
77,SCARABEO,9,SS,Frigstad,D-90,DRR,2011,,DNV,10000,12000,50000,1Q/17,Gulf,of,Mexico,62000,10,200,265,250,36.8,77.4,7700,137.8x26.2,DP-3,"8x5,766",,,,,,,110,110,,,44,2000,Aker,Solutions,74x25,Dual,RamRig,Aker,Solutions,,60.5,Aker,Solutions,MH,DDM,1000,HY,RR,1000,st,each,Aker,Ram,Rig,2000,A/P,RamRig,DrillView,15000,25000,,6000,4,AS/Bomco,7500,pai,2200,HP,8643,12167,,30000,Y,4,,2,4800,6,Aker,21,RP16,21,50,T/B,Aker,10000,15,4,"4,",3.5,5,5,Shaffer,2,Shaffer,14x14,820,HDH4,MUX,Shaffer,Y,,,,,,,,,,
-,CERRADO,DS,Samsung,10000,2011,-,-,-,-,-,-,-,-,-,200,748,138,28,39,20000,84x41,DP-3,"6x6,000",-,-,-,-,1230,-,85,85,85,85,-,-,-,80x60,5750,-,2,60.5,-,-,-,2000,A,-,-,-,-,-,-,4,-,6000,-,-,30000,-,-,-,-,3200,8,Hydralift,-,FT-h,21,90,both,-,-,15,-,-,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,SC,LANCER,DS,Gusto,Pelican,Ice,Class,II,1977,2000,-,4920,4920,19680,-,Brazil,-,-,100,450,77,-,-,-,-,DP,-,-,-,-,-,-,-,40,25,-,-,-,1000,Pyramid,44x36,3000,Gardner,Denver,1.875,49.5,-,-,-,-,-,-,-,-,-,-,-,2,Gardner,Denver,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,SERTAO,DS,Samsung,10000,2011,-,-,10000,10000,37400,-,-,-,-,200,748,138,28,39,20000,84x40,DP-3,"6x6,000",-,-,-,-,1230,-,85,85,85,85,-,-,NOV,80x59,5750,-,2,60.5,-,-,-,2000,A,-,-,-,-,-,-,4,-,6000,-,-,30000,-,-,-,-,3200,8,Hydralift,-,FT-H,21,90,both,-,-,15,-,-,-,1,-,2,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,SS,AMAZONIA,SS,F&G,ExD,Millennium,2011,-,ABS,7874,7874,25000,-,-,-,-,135,345,254,24,55,5500,87x22,DP-2,"8x3,250",-,-,-,3,1476,-,60,50,50,-,-,2000,Loadmaster,46x40,6000,OEM,TT1500,2,60.5,-,-,Control,Flow,800,A/P,-,-,-,-,-,-,4,LEWCO/Le,Tourneau,5300,-,-,-,-,4,1,1,2500,6,Control,Flow,-,MR-64,21,75,both,VETCO,-,15,-,-,-,5,Cameron,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
-,SS,PANTANAL,SS,F&G,ExD,Millennium,2010,-,ABS,6560,6560,25000,-,-,-,-,135,345,254,24,55,5500,87x22,DP-2,"8x3,250",-,-,-,3,1476,-,60,50,50,-,-,2000,Loadmaster,46x40,6000,OEM,TT1500,2,60.5,-,-,Control,Flow,800,A/P,-,-,-,-,-,-,4,LEWCO/Le,Tourneau,5300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,VITORIA,10000,DS,Samsung,10000,2010,-,-,10000,10000,37400,-,-,56000,-,200,748,138,28,39,20000,84x41,DP-3,"6x6,000",-,-,-,-,1230,-,85,85,85,85,-,-,NOV,80x60,5750,-,2,60.5,-,-,-,2000,A,-,-,-,-,-,-,4,-,6000,-,-,30000,-,-,-,-,3200,8,Hydralift,-,FT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,WEST,AURIGA,DS,SHI,"S10,000",2013,-,ABS,12000,10000,40000,3Q/20,GoM,56300,12,200,748,138,-,-,18000,-,DP-3,"6x6,000",-,-,-,-,-,-,85,85,85,85,-,2500,-,-,1250,NOV,-,60.5,Hydratong,MPT,200,NOV,1250,NOV,-,A/P,-,-,-,-,-,-,4,NOV,14-P-220,13000,-,-,-,-,6,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,WEST,AQUARIUS,SS,GVA,7500,2009,-,DNV,10000,10000,35000,2Q/17,Asia,/,Canada,50500,6,180,382,317,30.5,75.5,7000,63x26,DP-3,"8x4,690",3.3,-,6561,-,-,-,80,80,-,-,-,2000,MH,47x47,4500,Wirth,4500,-,60.5,Y,908Mt,MH,1000,A/P,MH,-,-,-,-,-,4,Wirth,TPK,-,2200HP,5600,11500,3200,32000,Y,6,0,1,3600,Inline,M-H,60.5,-,19.25,(ID),75,T/B,Cameron,-,15,4.5,3.5,1,5,Cameron,2,Cameron,-,-,Cameron,MUX,Cameron,-,-,,,,,,,,,,,,,,,,,,,,,,,
81,WEST,CAPELLA,DS,Samsung,10000,2008,-,ABS,10000,10000,37500,2Q/17,West,Africa,64500,11,180,748,138,27.2,39.4,20000,84x31,DP-3,"6x5,360",-,-,-,-,-,-,93,93,93,93,-,"1x2,000,","1x1,000",NOV,60x80,5760,SSGD-5760,-,60.5,Y,-2,NOV-Hydralift,HPS10002E-AC-KT,NOV-Hydralift,1000,A/P,NOV,-,-,-,-,-,4,National,Oilwell,14P220,6040,8460,3100,32500,-,6,1,1,3200,16,NOV,60.5,-,19.25,(ID),90,T/B,Shaffer,-,15,4.5,4,1,6,Shaffer,2,Shaffer,-,-,Vetco,H4,MUX,Shaffer,-,-,,,,,,,,,,,,,,,,,,,,,,
-,WEST,CAPRICORN,SS,Friede,&,"Goldman,",ExD,Class,2011,-,ABS,7500,10000,37500,3Q/17,GoM,50500,7,180,379,296,27.7,65.5,7000,-,DPS-2+,"8x4,485",-,-,-,-,-,-,105,105,-,-,44,2500,MH,52x46,4500,Wirth,GH4500,-,60.5,Y,-2,908Mt,MH,1000,A/P,MH,-,-,-,-,-,4,Wirt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,WEST,CARINA,DS,Samsung,12000,2014,-,ABS,12000,12000,37500,1Q/15,Asia,56300,12,200,748,138,-,-,18000,-,DP-3,"6x6,000",-,-,-,-,-,-,85,85,85,165,-,2500,-,-,1250,NOV,-,60.5,Hydratong,MPT,200,NOV,1250,NOV,-,A/P,-,-,-,-,-,-,4,NOV,14-P-220,13000,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,WEST,ECLIPSE,SS,F&G,ExD,Millennium,2011,-,ABS,7500,12000,37500,1Q/15,West,Africa,40480,4,180,398,298,27.6,55.8,7000,135.6x29.52,DP-2,8x4425,3.3,ORQ4,1443,-,-,13.22,100,100,-,-,44,2000,AKMH,46x52,4500,Wirth,2,60.5,BC26-MH-1899,AKMH-DDM-AC-2M,AKMH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,WEST,EMINENCE,SS,Moss,CS50,MkII,2009,-,DNV,10000,10000,30000,3Q/15,Brazil,50500,8,180,273,239,32.3,77,6100,-,DP-3,"8x4,485",3,-,-,-,-,-,80,80,-,-,-,"1x2,000,","1x1,000",MH,MHram-rig,,,,60.5/49.5,Y,-2,Main,908Mt/Aux,454Mt,MH,"1,500/750",A/P,MH,-,-,-,-,-,4,Wirth,TPK,-,2200HP,6300,6900,3100,29600,Y,5,1,1,3200,Inline,M-H,60,-,21,75,T/B,Cameron,-,15,4.5,3.5,1,5,Cameron,2,Cameron,-,-,Cameron,MUX,Cameron,-,-,,,,,,,,,,,,,,,,,,,,,,
-,WEST,GEMINI,DS,Samsung,10000,2010,-,ABS,10000,10000,37500,4Q/17,West,Africa,64500,11,180,748,138,27.2,39.4,20000,84x31,DP-3,"6x5,360",-,-,-,-,-,-,93,93,93,93,-,"1x2,000,","1x1,000",NOV,60x80,5760,SSGD-5760,-,60.5,Y,-2,NOV-Hydralift,HPS10002E-AC-KT,NOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,WEST,HERCULES,SS,GVA,7500,2008,-,DNV,10000,10000,35000,1Q/17,North,Sea,50500,6,180,382,317,30.5,75.5,7000,63x26,DP-3,"8x4,690",3.3,-,6561,-,-,-,80,80,-,-,-,2000,MH,47x47,4500,Wirth,4500,-,60.5,Y,908Mt,MH,1000,A/P,MH,-,-,-,-,-,4,Wirth,TPK,-,2200HP,5600,11500,3200,32000,Y,6,0,1,3600,Inline,M-H,60.5,-,19.25,(ID),75,T/B,Cameron,-,15,4.5,3.5,1,5,Cameron,2,Cameron,-,-,Cameron,MUX,Cameron,-,-,,,,,,,,,,,,,,,,,,,,,,,,
84,WEST,JUPITER,DS,Samsung,12000,2014,-,ABS,12000,12000,37500,1Q/15,Asia,56300,12,200,748,138,-,-,18000,-,DP-3,"6x6,000",-,-,-,-,-,-,85,85,85,165,-,2500,-,-,1250,NOV,-,60.5,Hydratong,MPT,200,NOV,1250,NOV,-,A/P,-,-,-,-,-,-,4,NOV,14-P-220,13000,-,-,-,-,6,-,-,1800,8,-,-,FT-H,19.25,(ID),90,-,Shaffer,-,15,4.5,-,-,7,Shaffer,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
-,WEST,LEO,SS,Moss,CS50,MkII,2012,-,DNV,10000,10000,35000,2Q/18,West,Africa,49300,8,192,387,239,32.3,77,6800,-,DP-3,"8x5,100",-,-,-,-,-,-,105,105,-,-,-,2000,NOV,-,5750,NOV,1000,-,60.5,Y,-2,NOV,HPS,1000,NOV,-,A/P,NOV,-,-,-,-,-,4,National,Oilwell,14P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,WEST,NAVIGATOR,DS,MST,Converted,to,Drillship,2000,-,DNV,7500,8200,35000,1Q/15,North,Sea,43000,12,117,830,138,43,43,9900,63x39,DP-3,"4x6,120",+,main,skrew,-,-,-,-,-,-,77,38.6,38.6,11,30/35,"1x1,500",+,"1x1,300",MH,MHram-rig,,,,60.5,-2,Y,-2,MH,1x650,+,1x750,MH,"2x1,300",A/P,MH,-,-,-,-,-,3,National,Oilwell,14P220,6600,5700,,29600,Y,6,1,2,2560,16,M-H,60,-,21,75,T/B,Dril-Quip,-,15,4.5,3.5,1,5,Hydril,2,Hydril,,,DrilQuip,DX,MUX,Hydril,Y,3000,,,,,,,,,,,,,,
-,WEST,NEPTUNE,DS,Samsung,12000,2014,-,ABS,12000,12000,37500,4Q/17,GoM,56300,12,200,748,138,-,-,18000,-,DP-3,"6x6,000",-,-,-,-,-,-,85,85,85,165,-,2500,-,-,1250,NOV,-,60.5,Hydratong,MPT,200,NOV,1250,NOV,-,A/P,-,-,-,-,-,-,4,NOV,14-P-220,13000,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,WEST,ORION,SS,Friede,&,"Goldman,",ExD,Class,2010,-,ABS,10000,10000,37500,3Q/16,Brazil,50500,7,180,379,296,27.7,65.5,7000,-,DPS-2+,"8x4,485",-,-,-,-,-,-,105,105,-,-,44,2500,MH,52x46,4500,Wirth,GH4500,-,60.5,Y,-2,908Mt,MH,1000,A/P,MH,-,-,-,-,-,4,Wirth,-,2200HP,6800,11900,4800,27400,Y,8,0,-,4410,Inline,M-H,60.5,-,19.25,(ID),75,T/B,Cameron,-,15,4.5,3.5,1,5,Cameron,2,Cameron,-,-,Cameron,MUX,Cameron,-,-,,,,,,,,,,,,,,,,,,,,,,
87,WEST,PEGASUS,SS,Moss,CS50,MkII,2011,-,DNV,10000,10000,35000,3Q/16,Mexico,49300,8,192,387,239,32.3,77,6800,-,DP-3,"8x5,100",-,-,-,-,-,-,105,105,-,-,-,2000,NOV,-,5750,NOV,1000,-,60.5,Y,-2,NOV,HPS,1000,NOV,-,A/P,NOV,-,-,-,-,-,4,National,Oilwell,14P220,6300,6300,3500,27400,-,6,1,1,3200,Inline,NOV,60.5,-,18.75,(ID),75,T/B,Shaffer,-,15,4.5,3.5,1,6,Shaffer,2,Shaffer,-,-,-,MUX,Shaffer,-,-,,,,,,,,,,,,,,,,,,,,,,
-,WEST,PHOENIX,SS,Moss,CS50,MkII,2008,-,DNV,10000,10000,30000,4Q/15,North,Sea,50500,8,128,273,239,32.3,77,6100,-,DP-3,"8x4,485",3,NV,R4,"8x7,800",-,-,-,80,80,-,-,-,"1x2,000,","1x1,000",MH,MHram-rig,,,,60.5/49.5,Y,-2,Main,908Mt/Aux,454Mt,MH,"1,500/750",A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,WEST,POLARIS,DS,Samsung,10000,2008,-,ABS,10000,10000,37500,1Q/18,West,Africa,64500,11,180,748,138,27.2,39.4,20000,84x31,DP-3,"6x5,360",-,-,-,-,-,-,93,93,93,93,-,"1x2,000,","1x1,000",NOV,60x80,5760,SSGD-5760,-,60.5,Y,-2,NOV-Hydralift,HPS10002E-AC-KT,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,WEST,SIRIUS,SS,Friede,&,"Goldman,",ExD,Class,2008,-,ABS,10000,10000,37500,3Q/14,GoM,50500,7,180,379,296,27.7,65.5,7000,-,DPS-2+,"8x4,485",-,-,-,-,-,-,105,105,-,-,44,2500,MH,52x46,4500,Wirth,GH4500,-,60.5,Y,-2,NOV,1250,MH,1000,A/P,MH,-,-,-,-,-,4,Wir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,WEST,TAURUS,SS,Friede,&,"Goldman,",ExD,Class,2008,-,ABS,10000,10000,37500,1Q/15,Brazil,50500,7,180,379,296,27.7,65.5,7000,-,DPS-2+,"8x4,485",-,-,-,-,-,-,105,105,-,-,44,2500,MH,52x46,4500,Wirth,GH4500,-,60.5,Y,-2,908Mt,MH,1000,A/P,MH,-,-,-,-,-,4,Wirth,-,2200HP,6800,11900,4800,27400,Y,8,0,-,4410,Inline,M-H,60.5,-,19.25,(ID),75,T/B,Cameron,-,15,4.5,3.5,1,5,Cameron,2,Cameron,-,-,Cameron,MUX,Cameron,-,-,,,,,,,,,,,,,,,,,,,,,,
-,WEST,TELLUS,DS,Samsung,12000,2013,-,DNV,10000,12000,37500,3Q/14,West,Africa,56300,12,200,748,138,-,-,18000,-,DP-3,"6x6,000",-,-,-,-,-,-,85,85,85,165,-,2500,-,-,1250,NOV,-,60.5,Hydratong,MPT,200,NOV,1250,NOV,-,A/P,-,-,-,-,-,-,4,NOV,14-P-220,13000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,WEST,VELA,DS,SHI,"S10,000",2013,-,ABS,10000,12000,37500,4Q/20,GoM,56300,12,200,748,138,-,-,18000,-,DP-3,"6x6,000",-,-,-,-,-,-,85,85,85,85,-,2500,-,-,1250,NOV,-,60.5,Hydratong,MPT,200,NOV,1250,NOV,-,A/P,-,-,-,-,-,-,4,NOV,14-P-220,13000,-,-,-,-,6,-,-,1800,8,-,-,FT-H,19.25,(ID),90,-,Shaffer,-,15,4.5,-,-,7,Shaffer,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
-,SEVAN,BRASIL,SS,Sevan,650,2012,-,DNV,10000,12000,40000,3Q/18,Brazil,56300,8,150,-,-,-,-,-,-,-,"8x5,100",-,-,-,-,-,-,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,18000,-,-,-,-,3200,-,DAT,-,-,-,-,-,-,-,15,-,-,-,6,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,SEVAN,DEVELOPER,DS,Sevan,650,2014,-,-,12500,12500,40000,2Q/16,Brazil,56300,8,150,-,-,-,-,-,-,-,"8x5,100",-,-,-,-,-,-,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,18000,-,-,-,-,3200,-,DAT,-,-,-,-,-,-,-,15,-,-,-,6,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,SEVAN,DRILLER,SS,Sevan,650,2009,-,-,12500,12500,40000,2Q/16,Brazil,-,2019-07-09 00:00:00,150,279,246,-,-,-,-,-,"8x5,100",-,-,-,-,-,-,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,18000,-,-,-,-,3200,-,DAT,-,-,-,-,-,-,-,15,-,-,-,6,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,SEVAN,LOUISIANA,SS,Sevan,650,2013,-,-,10000,10000,-,2Q/17,GoM,56300,8,150,-,-,-,-,-,-,-,"8x5,100",-,-,-,-,-,-,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,18000,-,-,-,-,3200,-,DAT,-,-,-,-,-,-,-,15,-,-,-,6,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,STENA,CARRON,DS,Stena/Samsung,2008,-,DNV,7500,10000,35000,4Q/16,International,60000,12,180,748,137.8,26.25,39.4,22046,84x41,DP-3,"6x5,500",-,-,-,-,-,14,94,94,94,-,44,2000,NOV-HydraLift,-,Hoist,Cyl,Rig,NOV-HydraLift,-,60.5/,49.5,NOV-HydraLift,NOV-HydraLift,NOV-HydraLift,"1,000/661",A/P,NOV-HydraLift,"Hitec,",MDT,Nil,Nil,15000,Nil,4,NOV,FC2200,5346,15096,3145,29664,1,5,1,1,3600,6,NOV-HydraLift,60.5,F,21,80,Both,Cameron,10000,15,4.5,4.5/4.5,5,6,Cameron,2,Cameron,16.7x13.1,782,SHDH4,MUX,Cameron,Y,2000,,,,,,,,,,,,,,,,,,,,,,,,,,
-,STENA,DRILLMAX,DS,Stena/Samsung,2007,-,DNV,7500,10000,35000,2Q/16,International,56300,12,180,748,137.8,26.25,39.4,22046,84x41,DP-3,"6x5,500",-,-,-,-,-,14,94,94,94,-,44,2000,NOV-HydraLift,-,Hoist,Cyl,Rig,NOV-HydraLift,-,60.5/,49.5,NOV-HydraLift,NOV-H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,STENA,FORTH,DS,Stena/Samsung,2009,-,DNV,7500,10000,35000,4Q/15,International,60000,12,180,748,137.8,26.25,39.4,22046,84x41,DP-3,"6x5,500",-,-,-,-,-,14,94,94,94,-,44,2000,NOV-HydraLift,-,Hoist,Cyl,Rig,NOV-HydraLift,-,60.5/,49.6,NOV-HydraLift,NOV-Hydr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,STENA,ICEMAX,DS,Stena/Samsung,2012,-,DNV,7500,10000,35000,2Q/17,International,60000,12,180,748,137.8,26.25,39.4,16535,84x41,DP-3,"6x5,500",-,-,-,-,-,14,94,94,94,94,44,2000,NOV-HydraLift,-,Hoist,Cyl,Rig,NOV-HydraLift,-,60.5/,49.7,NOV-HydraLift,NOV-HydraLift,NOV-HydraLift,"1,000/661",A/P,NOV-HydraLift,"Hitec,",MDT,Nil,Nil,15000,Nil,4,NOV,FC2200,5346,15096,3145,29664,1,5,1,1,3600,6,NOV-HydraLift,60.5,F,21,80,Both,Cameron,10000,15,4.5,4.5/4.5,5,6,Cameron,2,Cameron,16.7x13.1,762,SHDH4,MUX,Cameron,Y,2000,,,,,,,,,,,,,,,,,,,,,,,,,,
-,CAJUN,EXPRESS,SS,SFXpress,2000,2001,-,ABS,8500,8500,35000,4Q/18,Morocco/Senegal,41230,10,140,349,226,29.5,65.5,8800,144x46,DP-3,"4x9,400",-,-,-,3.5,6000,15,71,71,-,-,30,2057,J.Paris,167x39,6600,N-O,Hitec,2,60.5,MOS,CanRig,-,1500,A,Varco-PRS-5R,(2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
