NAME,ATWOOD HUNTER,ATWOOD EAGLE,ATWOOD  FALCON,ATWOOD OSPREY,OCEAN AMERICA,OCEAN BARONESS,OCEAN QUEST,OCEAN WINNER,OCEAN WORKER,OCEAN VALIANT,OCEAN VICTORY,OCEAN ENDEAVOR,OCEAN MONARCH,OCEAN ROVER,OCEAN STAR,BLACKFORD DOLPHIN,ENSCO 5006,ENSCO 5001,NOBLE AMOS RUNNER,NOBLE PAUL ROMANO,NOBLE JIM THOMPSON,NOBLE MAX SMITH,NOBLE HOMER FERRINGTON,NOBLE CLYDE BOUDREAUX,NOBLE LORRIS BOUZIGARD,NOBLE THERALD MARTIN,NOBLE DRILLER,DEEPWATER NAUTILUS,TRANSOCEAN MARIANAS,GSF CELTIC SEA,JACK BATES,"M.G. HULME, JR",TRANSOCEAN RICHARDSON,HENRY GOODRICH,JIM CUNNINGHAM,TRANSOCEAN LEADER,TRANSOCEAN RATHER,SOVEREIGN EXPLORER,ABAN ABRAHAM,HYSY 981,OCEAN CLIPPER,OCEAN CONFIDENCE,OCEAN ALLIANCE,OCEAN COURAGE,OCEAN VALOR,BELFORD DOLPHIN,ENSCO 7500,ENSCO 8500,ENSCO 8501,ENSCO 8502,ENSCO 8503,ENSCO 8504,ENSCO 8505,ENSCO DS-1,ENSCO DS-2,ENSCO 6001,ENSCO 6002,ENSCO 6004,ENSCO 6003,ENSCO DS-3,ENSCO DS-4,ENSCO DS-5,ENSCO DS-6,LA MURALLA IV,JASPER EXPLORER,MÆRSK DEVELOPER,MAERSK DISCOVERER,MÆRSK DELIVERER,NOBLE PAUL WOLFF,NOBLE ROGER EASON,NOBLE LEO SEGERIUS,NOBEL MURAVLENKO,NOBLE DAVE BEARD,NOBLE DANNY ADKINS,NOBLE JIM DAY,NOBLE PHOENIX,NOBLE GLOBETROTTER I,NOBLE BULLY I,ERIK RAUDE,LEIV EIRIKSSON,OCEAN RIG CORCOVADO,OCEAN RIG OLYMPIA,OCEAN RIG POSEIDEN,OCEAN RIG MYKONOS,DEEPSEA METRO I,DEEPSEA METRO II,DEEPSEA STAVANGER,DEEPSEA  ATLANTIC,Pacific Bora,Pacific Scirocco,Pacific Mistral,Pacific Santa Ana,Louisiana,SSV Victoria,GOLD STAR,ALPHA STAR,LONE STAR,SAIPEM 10000,SAIPEM 12000,SCARABEO 5,SCARABEO 8,SCARABEO 9,SC LANCER,WEST NAVIGATOR,WEST PHOENIX,WEST EMINENCE,WEST SIRIUS,WEST TAURUS,WEST HERCULES,WEST AQUARIUS,WEST POLARIS,WEST CAPELLA,WEST ORION,WEST CAPRICORN,WEST PEGASUS,WEST LEO,WEST GEMINI,Sevan Driller,SONGA ECLIPSE,STENA DRILLMAX,STENA CARRON,STENA FORTH,STENA ICEMAX,DEEPWATER ASGARD,DEEPWATER INVICTUS,DEEPWATER CHAMPION,TRANSOCEAN BARENTS,TRANSOCEAN SPITSBERGEN,DISCOVERER INDIA,DISCOVERER CLEAR LEADER,DISCOVERER AMERICAS,DISCOVERER INSPIRATION,PETROBRAS 10000,DHIRUBHAI DEEPWATER KG1,DHIRUBHAI DEEPWATER KG2,DISCOVERER LUANDA,DEVELOPMENT DRILLER III,DEEPWATER DISCOVERY,DEEPWATER EXPEDITION,DEEPWATER FRONTIER,DEEPWATER MILLENNIUM,DEEPWATER PATHFINDER,DISCOVERER DEEP SEAS,DISCOVERER ENTERPRISE,DISCOVERER SPIRIT,GSF C.R. LUIGS,GSF JACK RYAN,GSF EXPLORER,GSF DEVELOPMENT DRILLER I,GSF DEVELOPMENT DRILLER II,DEEPWATER NAVIGATOR,SEDCO ENERGY,SEDCO EXPRESS,CAJUN EXPRESS,DISCOVERER 534,SEDCO 707,DISCOVERER SEVEN SEAS,SEDCO 702,SEDCO 706,SEDCO 709,SEDCO 710,PLATINUM EXPLORER,TITANIUM EXPLORER
BULK STORAGE CAPACITY (Cu. ft.),10000,10000,10000,,24000,17120,12340,17688,12516,24000,24000,26480,21980,17120,18520,17360,20600,21000,18250,18250,18250,18250,14550,25800,14480,14480,18008,26364,15600,22925,29760,20106,21966,30000,20040,16470,21916,23992,21140,,15400,25000,26000,23307,23307,46000,20118,26000,26000,26000,26000,26000,26000,19918,21190,10030,10030,10030,10030,34800,34800,34800,34800,,,48000,48000,48000,18250,25000,19320,19320,23400,30000,30000,18220,34604,28088,,,,,,,,,,,31924,31924,31924,31924,,,,,,32000,32000,28200,13400,30000,,29600,29600,29600,27400,27400,32000,32000,32500,32500,27400,27400,27400,27400,32500,,,29664,29664,29664,29664,28251,28251,32000,27545,27545,32000,32000,32000,32000,32490,31384,31384,32000,48000,38840,19440,32000,32000,32000,32000,32000,32000,27500,27500,47160,27395,27395,18000,23000,23000,23000,16800,18760,16800,18760,18760,,22000,28252,28252
GUMBO BUSTER (YES/NO),Y,Y,Y,Y,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,N,,N,,,N,N,N,Y,,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,Y,Y,Y,N,Y,,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,,,,,,1,1,1,1,,,,,,Y,Y,,,,,,,,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,4,,N,N,N,N
SHALE SHAKERS No.,4+4,3+3,4,6,5,5,4+4,4+4,4,4,4,5,5,5,4,5,5,4,5,4,5,5,5,6,4,5,5,7,6,4,4,4,6,5,4,4,4,6,4,,4,6,4,5,5,6,5,6,6,6,6,6,6,5,5,4,4,4,4,6,6,6,6,,,8,8,8,4,4,4,4,7,6,6,5,5,6,,,,,,,8,8,6,6,7,7,7,7,,,,,,6,7,5,5,4,,6,5,5,8,8,6,6,6,6,8,8,6,6,6,,5,5,5,5,5,8,8,8,4,4,6,10,10,10,6,6,6,6,7,6,4,6,6,6,6,6,6,8,8,6,7,7,3,6,5,5,5,3,7,,3,5,3,6,6
DESANDER No.,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1 set,1 set,1,1,1,1,1,1,1,1,1,,1,2,1,,,1,1,1,,,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1 set,1 set,1 set,1 set,1 set,1 set,-,-,-,-,,,0,0,0,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,1,1,1,1,,,,,,1,1,3,1,,,1,1,1,0,0,0,0,1,1,0,0,1,1,1,,3,1,1,1,1,,,1,,,MC,MC,MC,MC,1,1,1,MC,,2,1,MC,1,MC,MC,MC,MC,2,2,,,,1,1,1,1,1,1,1,,,,,,
DESILTER No.,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,2 sets,1 set,1,1,1,1,1,1,1,1,,,,1,1,,,,1,,,,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1 set,1 set,1 set,1 set,1 set,1 set,-,-,-,-,,,y,n,n,1,1,1,,1,1,1,1,1,1,,,,,,,,,,,1,1,1,1,,,,,,1,1,2,1,2,,2,1,1,,,,,1,1,,,1,1,1,,20,1,1,1,1,,,1,,,MC,MC,MC,MC,1,1,1,MC,,1,1,MC,1,MC,MC,MC,MC,,2,,2,2,1,2,1,1,1,1,1,,,,,2,2
RISER & RISER TENSIONER DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riser tensioner (Total capacity ) (Kips),1280,1600,1600,3600,1280,3600,1000,960,960,1280,1280,3600,3600,3600,1280,2400,1932,1910,1920,1600,1600,1600,1920,1920,640,640,1600,4800,1600,1920,1500,1440,1200,1600,1080,1440,1200,1440,800,,1920,2500,1280,3600,3600,3200,2000,"2,500/3,000","2,500/3,000","2,500/3,000","2,500/3,000","2,500/3,000","2,500/3,000",2560,2560,1016,1016,1016,1016,3600,3600,3600,3600,,,4200,4200,4200,1920,1280,960,960,2500,2500,2500,1500,3600,3300,200,200,,,,,,,,,3200,3600,3200,3200,,,,,,3200,3200,1920,3500,4800,,2560,3200,3200,4410,4410,"1 3,600","1 3,600",3200,3200,4410,4410,3200,3200,3200,,3500,3600,3600,3600,3600,4000,4000,3500,3200,3200,4800,4800,4800,4800,3200,3200,3200,4800,3000,3200,2400,2560,2560,2560,4800,4800,4800,3000,3000,2000,3000,3000,1920,2400,2000,3200,1400,1600,1600,960,960,1280,960,3200,3200
RISER TENSIONERS No.,12,12,12,6,8,6,12,12,12,8,8,6,6,6,8,6,12,10,12,10,10,10,12,12,8,8,5 dbls,6,8,12,16,6,12,16,6,12,12,16,10,,12,12,8,6,6,8,8,8,8,8,8,8,8,16,16,8,8,8,8,16,16,16,16,,,6,6,6,12,12,12,12,10,10,10,12,8,6,8,8,,,,,16,16,,,8 dual,9 dual,10 dual,11 dual,,,,,,16,16,16,6,6,,16,Inline,Inline,Inline,Inline,Inline,Inline,16,16,Inline,Inline,Inline,Inline,16,,,6,6,6,6,8,8,14,6,6,6,6,6,6,8,8,8,6,12,8,12,8,16,8,6,6,6,12,12,10,12,12,12,12,10,16,14,16,16,8,8,16,12,16,16
RISER TENSIONERS Manufacturer,W.G.,W.G.,W.G.,NOV,Shaffer,Hydralift,Shaffer,Shaffer,Shaffer/W.G.,Shaffer,Shaffer,Hydralift,Hydralift,Hydralift,Shaffer,National,NOV Hydralift,NOV Hydralift,Shaffer,Shaffer,Shaffer,Shaffer,Shaffer,Shaffer,Shaffer,Rucker,Control Flo,Hydralift,Westech,Shaffer,W.G.,Shaffer,W.G.,Hydril,Vetco Shaffer,Shaffer,W.G.,Shaffer,HC Gusto,,Shaffer,Shaffer,Shaffer,AKMH,AKMH,Hydralift,Retsco,NOV,NOV,NOV,NOV,NOV,NOV,M-H,M-H,M-H,M-H,M-H,M-H,NOV,NOV,NOV,NOV,,,NOV N-line,NOV N-line,NOV N-line,Shaffer,Shaffer,IHC Gusto,Shaffer,Shaffer,Shaffer,Shaffer,MH,Huisman,Huis./Rexroth,Hydralift,Hydralift,,,,,,,,,NOV,,,,,,,,,Hydralift,Shaffer,Shaffer,NOV,Aker,,M-H,M-H,M-H,M-H,M-H,M-H,M-H,NOV,NOV,M-H,M-H,NOV,NOV,NOV,,,NOV-HydraLift,NOV-HydraLift,NOV-HydraLift,NOV-HydraLift,Aker MH,Aker MH,NOV,Aker MH,Aker MH,Hydralift,Hydralift,Hydralift,Hydralift,NOV,NOV,NOV,Hydralift,NOV,Shaffer,Shaffer,M-H,M-H,M-H,Hydralift,Hydralift,Hydralift,Shaffer,Shaffer,Shaffer,Hydralift,Hydralift,Shaffer,Retsco,Retsco,Retsco,HSMC,Shaffer,HSMC,CFI/Westech,CFI/Westech,Rucker,Western Gear,AKMH,AKMH
DIVERTER SIZE (In.),49.5 in.,59 in.,,60 in.,49.5 in.,60.5 in.,49.5 in.,49.5 in.,49.5 in.,49.5 in.,49.5 in.,60.5 in.,60.5 in.,60.5 in.,49.5 in.,60.5 in.,60.5 in.,60.5 in.,60 in.,60 in.,60 in.,60 in.,60 in.,60 in.,24.25 in.,24.25 in.,49.5 in.,60.5 in.,21 in.,20 in.,21 in.,21 in.,24 in.,49 in.,24 in.,18.75 in.,24 in.,24 in.,24 in.,,60.5 in.,60.5 in.,49.5 in.,60.5 in.,60.5 in.,60.5 in.,60 in.,60 in.,60 in.,60 in.,60 in.,60 in.,60 in.,60.5 in.,60.5 in.,49.5 in.,49.5 in.,49.5 in.,49.5 in.,60.5 in.,60.5 in.,60.5 in.,60.5 in.,,,60.5 in.,60.5 in.,60.5 in.,60 in.,49.5 in.,49.5 in.,49.5 in.,60 in.,60.5 in.,60.5 in.,49.5 in.,21.7 in.,60 in.,,,,,,,,,,,60.5 in.,75.5 in.,60.5 in.,75.5 in.,,,,,,21 in.,21 in.,21 in.,21 in.,21 in.,,60 in.,60 in.,60 in.,60.5 in.,60.5 in.,60.5 in.,60.5 in.,60.5 in.,60.5 in.,60.5 in.,60.5 in.,60.5 in.,60.5 in.,60.5 in.,,,60.5 in.,60.5 in.,60.5 in.,60.5 in.,78.5 in.,75.5 in.,72 in.,60.5 in.,60.5 in.,60 in.,60 in.,60 in.,60 in.,21.25 in.,21.25 in.,21.25 in.,60 in.,20 in.,21.25 in.,60.5 in.,60.5 in.,60.5 in.,21 in.,60.5 in.,60.5 in.,60.5 in.,21.25 in.,21.25 in.,20 in.,60.5 in.,60.5 in.,21 in.,21 in.,21 in.,21 in.,49.5 in.,21 in.,21 in.,49.5 in.,60 in.,24 in.,24 in.,21 in.,21 in.
CLASS of RISER (API),E,E,E,,E,F,C,F,C,E,E,F,F,F,E,E,H,G,E/F,E/F,E/F,E/F,E/F,Alum,Alum,Alum,F,G,E,F,E,E,E,E,E,,E,D,API,,FT,G,E,LK,LK,F/H,F,F,F,F,F,F,F,F,F,E,E,E,E,H,H,H,H,,,RP16Q,RP16Q,RP16Q,E/F,AAR,AAR,D,Hybrid,,,F,H,Clip,,,,,,,,,,,H,H,H,H -DGD,,,,,,H,H,H,H,16,,,,,,,,,,,,,,,,,,F,F,F,F,H,H,G,,,G,G,G,G,H,H,H,G,,F,F/H,F,F,F,F,F,F,F,F,F,F,F,E,G,E,G,E,E,E,E,E,C,C,H,H
RISER SIZE (O.D.  In.),21 in.,21 in.,21 in.,20 in.,21 in.,21 in.,21 in.,21 in.,19.7 in.,21 in.,21 in.,21 in.,21 in.,21 in.,21 in.,21 in.,21 in.,21 in.,19.75 in.,19.75 in.,21 in.,19.75 in.,19.75 in.,21 in.,21 in.,21 in.,21 in.,21.25 in.,21 in.,21 in.,21 in.,21 in.,21 in.,21 in.,21 in.,21 in.,21 in.,21 in.,18.625 in.,,21 in.,21 in.,21 in.,21 in.,21 in.,21.5 in.,21 in.,21 in.,21 in.,21 in.,21 in.,21 in.,21 in.,21 in.,21 in.,18.625 in.,18.625 in.,18.625 in.,18.625 in.,19.5 in.,19.5 in.,19.5 in.,19.5 in.,,,21 in.,21 in.,21 in.,21 in.,21 in.,21 in.,18.625 in.,22 in.,22 in.,22 in.,21 in.,21 in.,21 in.,21 in.,21 in.,,,,,,,,,21 in.,21.25 in.,21 in.,21 in.,,,,,,21 in.,21 in.,21 in.,21 in.,21 in.,,21 in.,21 in.,21 in.,19.25 in. (ID),19.25 in. (ID),19.25 in. (ID),19.25 in. (ID),19.25 in. (ID),19.25 in. (ID),19.25 in. (ID),19.25 in. (ID),18.75 in. (ID),18.75 in. (ID),18.75 in. (ID),,21 in.,21 in.,21 in.,21 in.,21 in.,21 in.,21 in.,21 in.,21 in.,21 in.,21 in.,21 in.,21 in.,21 in.,21 in.,21 in.,21 in.,21 in.,21 in.,21.25 in.,21 in.,21 in.,21 in.,21 in.,21 in.,21 in.,21 in.,21 in.,21 in.,21 in.,21 in.,21 in.,21 in.,21 in.,21 in.,21 in.,21 in.,21 in.,21 in.,21 in.,21 in.,21 in.,21 in.,21 in.,21 in.
RISER JOINT LENGTH (ft.),75 ft.,75 ft.,75 ft.,75 ft.,50 ft.,75 ft.,50 ft.,65 ft.,65 ft.,50 ft.,50 ft.,75 ft.,75 ft.,75 ft.,75 ft.,70 ft.,75 ft.,75 ft.,75 ft.,75 ft.,75 ft.,75 ft.,75 ft.,75 ft.,75 ft.,75 ft.,75 ft.,90 ft.,75 ft.,75 ft.,60 ft.,60 ft.,75 ft.,75 ft.,60 ft.,60 ft./50 ft.,75 ft.,50 ft.,50 ft.,,75 ft.,75 ft.,50 ft.,75 ft.,75 ft.,80 ft.,75 ft.,75 ft.,75 ft.,75 ft.,75 ft.,75 ft.,75 ft.,70 ft.,70 ft.,65 ft.,65 ft.,65 ft.,65 ft.,75 ft.,75 ft.,75 ft.,75 ft.,,,75 ft.,75 ft.,75 ft.,75 ft.,75 ft.,75 ft.,75 ft.,75 ft.,75 ft.,75 ft.,75 ft.,75 ft.,90 ft.,,,,,,,,,,,90 ft.,90 ft.,90 ft.,90 ft.,,,,,,90 ft.,90 ft.,63 ft.,75 ft.,50 ft.,,75 ft.,75 ft.,75 ft.,75 ft.,75 ft.,75 ft.,75 ft.,90 ft.,90 ft.,75 ft.,75 ft.,75 ft.,75 ft.,90 ft.,,,80 ft.,80 ft.,80 ft.,80 ft.,75 ft.,75 ft.,75 ft.,75 ft.,75 ft.,75 ft.,75 ft.,75 ft.,75 ft.,90 ft.,90 ft.,90 ft.,75 ft.,75 ft.,90 ft.,80 ft.,90 ft.,90 ft.,90 ft.,90 ft.,90 ft.,90 ft.,75 ft.,75 ft.,75 ft.,75 ft.,75 ft.,80 ft.,65 ft.,65 ft.,65 ft.,75 ft.,65 ft.,75 ft.,65 ft.,65 ft.,65 ft./50 ft.,65 ft./50 ft.,75 ft.,75 ft.
FLEX JOINT (Top/Bottom),B,B,B,B,T,T/B,B,T/B,B,B,B,T/B,T/B,T/B,B,B,Both,Both,T,T,T,T,T,T,T,T,B,T/B,T/B,T/B,T/B,T/B,T,T,B,T/B,T/B,T,,,Both,T/B,T/B,T/B,T/B,B,T/B,T/B,T/B,T/B,T/B,T/B,T/B,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,,,Both,Both,Both,T/B,B,B,B,T/B,T/B,T/B,B,B,T,,,,,,,,,,,B,B,B,B,,,,,,T/B,T/B,T/B,T/B,T/B,,T/B,T/B,T/B,T/B,T/B,T/B,T/B,T/B,T/B,T/B,T/B,T/B,T/B,T/B,,,Both,Both,Both,Both,,,,,,T/B,T/B,T/B,T/B,T,T,T,T/B,,T/B,T/B,T/B,T/B,T/B,I/B,I/B,I/B,T/B,T/B,T/B,T/B,T/B,T/B,T/B,T/B,T/B,T/I/B,T/B,T/I/B,T/B,T/B,T,T,B,B
RISER MANUFACTURER,Vetco,Vetco,Vetco,Aker,Cameron,S&S,Vetco,Shaffer,Vetco&NOV,Cameron,Cameron,S&S,Shaffer,Shaffer,Shafer,Vetco,Cameron,Cameron,Shaffer,Shaffer,Shaffer,Shaffer,Shaffer,Noble,Noble,Noble,Oil States,Vetco,Vetco,S&S,Shaffer,Vetco,Vetco,S&S,Shaffer,Cameron,Vetco,Vetco,Cameron,,Shaffer,Shaffer,Vetco,Cameron,Cameron,Vetco,Dril-Quip,Dril-Quip,Dril-Quip,Dril-Quip,Dril-Quip,Dril-Quip,Dril-Quip,Kværner,Kværner,Vetco,Vetco,Vetco,Vetco,Vetco,Vetco,Vetco,Vetco,,,Aker,Aker,Aker,Shaffer,Noble,Noble,Vetco,Noble,Noble,Noble,Oil States,NOV,Aker,Vetco,Vetco,,,,,,,,,NOV-Shaffer,NOV-Shaffer,NOV-Shaffer,NOV-Shaffer,,,,,,Vetco,Vetco,Cameron,Cameron,Aker,,Dril-Quip,Cameron,Cameron,Cameron,Cameron,Cameron,Cameron,Shaffer,Shaffer,Cameron,Cameron,Shaffer,Shaffer,Shaffer,,Cameron,Cameron,Cameron,Cameron,Cameron,Cameron,Cameron,Vetco,Aker,,Vetco,Vetco,Vetco,Vetco,Shaffer,Shaffer,Shaffer,Vetco,Kvaerner,Vetco,Vetco,Vetco,Vetco,Vetco,Vetco,Vetco,Vetco,S&S,S&S,S&S,Kværner,Kværner,Vetco,Vetco,Vetco,Vetco,Vetco,Vetco,Vetco,Vetco,Vetco,Vetco,Vetco,Aker,Aker
RISER STORAGE MAIN DECK OR  in.IN HOLD in. (ft.),"5,000 ft.","5,000 ft.","5,000 ft.","7,000 ft.","6,400 ft.","6,500 ft.","3,595 ft.","4,000 ft.",4000 ft.,"5,120 ft.","5,075 ft.","8,000 ft.","8,000 ft.","6,500 ft.","5,500 ft.","6,000 ft.","6,000 ft.","6,825 ft.","8,000 ft.","6,000 ft.","7,200 ft.","6,000 ft.","7,200 ft.","10,000 ft.","4,000 ft.","4,000 ft.","5,000 ft.",,"7,125 ft.","5,600 ft.","5,400 ft.","5,000 ft.","5,000 ft.","1,500 ft.","4,600 ft.","4,500 ft.","4,500 ft.","3,000 ft.",Hold,,"7,500 ft.","7,500 ft.","5,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","8,000 ft.","8,500 ft.","8,500 ft.","8,500 ft.","8,500 ft.","8,500 ft.","8,500 ft.","7,350 ft.","7,070 ft.","5,590 ft.","5,590 ft.","5,590 ft.","5,590 ft.","10,050 ft.","10,050 ft.","10,050 ft.","10,050 ft.",,,"9,600 ft.","9,600 ft.","9,600 ft.","9,600 ft.","7,500 ft.","6,000 ft.","5,000 ft.","10,000 ft.","12,000 ft.","12,000 ft.","5,000 ft.","10,000 ft.","9,720 ft.",,,,,,,,,,,"10,000 ft.","12,000 ft.","10,000 ft.","10,000 ft.",,,,,,"10,000 ft.","12,000 ft.","6,500 ft.","10,000 ft.","10,000 ft.",,,,,,,,,,,,,,,,,,"10,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","6,500 ft.",,"10,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","12,000 ft.","10,000 ft.","7,500 ft.","10,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","8,000 ft.","7,500 ft.","7,500 ft.","7,840 ft.","8,500 ft.","8,500 ft.","8,500 ft.","7,600 ft.","6,560 ft.","6,500 ft.","6,500 ft.","6,500 ft.","4,500 ft.","4,500 ft.",,
BOP & BOP CONTROL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOP OPERATING PRESSURE (Ksi),10,10,10,15,15,15,15,10,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10 4.5 in. 4 in. 5 4,10,10,15,15,15,15,15,15,15,15,15,15,15,10,,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,10,10,10,10,15,15,15,15,,,15,15,15,15,15,10,10,15,15,15,10,15,15,15,15,15,15,15,15,,,,,15,15,15,15,,,,,,15,15,15,15,15,,15,15,15,15,15,15,15,15,15,15,15,15,15,15,,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,15,10,15,15,10,10,15,10,15,15
C&K LINE SIZE (I.D. In.),3.75 in.,3.75 in.,3.75 in.,3 in.,3 in.,4.5 in.,3 in.,2.75 in.,3 in.,3 in.,3 in.,4.5 in.,4.5 in.,4.5 in.,3 in.,3 in.,4 in.,3.5 in.,4.5 in.,4.5 in.,4.5 in.,4.5 in.,4.5 in.,4.5 in.,4.5 in.,4.5 in.,4 in.,4.5 in.,4.5 in.,3 in.,3 in.,3 in.,3 in.,3 in.,3 in.,3 in.,3 in.,3 in.,3 in.,,3 in.,4.5 in.,3.5 in.,4.5 in.,4.5 in.,4.5 in.,4.5 in.,4.5 in.,4.5 in.,4.5 in.,4.5 in.,4.5 in.,4.5 in.,4 in.,4 in.,3 in.,3 in.,3 in.,3 in.,4.5 in.,4.5 in.,4.5 in.,4.5 in.,,,4 in.,4 in.,4 in.,3 in.,3 in.,4.5 in.,3 in.,4.5 in.,4.5 in.,4.5 in.,3 in.,4.5 in.,4 in.,4.5 in.,4.5 in.,,,,,,,,,4.5 in.,4.5 in.,4.5 in.,4.5 in.,,,,,,4.5 in.,4.5 in.,3 in.,4.5 in.,4 in.,,4.5 in.,4.5 in.,4.5 in.,4.5 in.,4.5 in.,4.5 in.,4.5 in.,4.5 in.,4.5 in.,4.5 in.,4.5 in.,4.5 in.,4.5 in.,4.5 in.,,,4.5 in.,4.5 in.,4.5 in.,4.5 in.,,,4.5 in.,4.5 in.,4.5 in.,4.5 in.,4.5 in.,4.5 in.,4.5 in.,4.5 in.,4.5 in.,4.5 in.,4.5 in.,4 in.,4.5 in.,3 in.,4.5 in.,4.5 in.,4.5 in.,4.5 in.,4.5 in.,4.5 in.,4.5 in.,4.5 in.,3 in.,4.5 in.,4.5 in.,3 in.,4.5 in.,4 in.,4.5 in.,3 in.,3 in.,3 in.,3 in.,3 in.,3 in.,3 in.,3-1/16 in.,3-1/16 in.
AUX. LINE SIZE (I.D. In.),3.8 in./2.5 in.,3.8 in./2.5 in.,3.8 in./2.5 in.,,2.5 in./4 in.,4 in./3 in.,3 in.,3 in.,3 in.,2.5 in./4 in.,2.3 in./4 in.,4 in./3 in.,4 in./2.32 in.,4 in./3 in.,4 in.,4 in.,1x4.0 in./2x2.04 in.,1x3.5 in./2x2.057 in.,4.75 in.,4 in.,4 in.,4 in.,4 in.,4 in.,4 in.,2 in.,2.5 in.,3.826 in.,3.826 in.,4 in.,3.38 in.,3.375 in./2.25 in.,4.5 in.,2.5 in.,3.375 in./2.25 in.,4 in.,2.33 in./4 in.,3.75 in.,3.5 in.,,4 in.,4.5 in.,3.5 in.,4 in./3.5 in.,4 in./3.5 in.,4 in.,4.00 in./2.44 in.(2),3.826 in./2.44 in.(2),3.826 in./2.44 in.(2),3.826 in./2.44 in.(2),3.826 in./2.44 in.(2),3.826 in./2.44 in.(2),3.826 in./2.44 in.(2),3.343 in./1.875 in.(2),3.343 in./1.875 in.(2),3.364 in./2.323 in.(2),3.364 in./2.323 in.(2),3.364 in./2.323 in.(2),3.364 in./2.323 in.(2),4.0 in./2.62 in.(2),4.0 in./2.62 in.(2),4.0 in./2.62 in.(2),4.0 in./2.62 in.(2),,,4.5 in.,4.5 in.,4.5 in.,3 in.,3 in.,4 in.,3 in.,4.5 in.,4.5 in.,4.5 in.,3 in.,2.32 in./5 in.,2 in.,4,4,,,,,,,,,4 in./2.333 in.,4 in./2.333 in.,4 in./2.333 in.,4 in./2.333 in.,,,,,,4.5 in.,4.5 in.,4.5 in.,4.5 in.,4 in./3.5 in.,,3.5 in.,3.5 in.,3.5 in.,3.5 in.,3.5 in.,3.5 in.,3.5 in.,4 in.,4 in.,3.5 in.,3.5 in.,3.5 in.,3.5 in.,3.5 in.,,,4.5 in./4.5 in.,4.5 in./4.5 in.,4.5 in./4.5 in.,4.5 in./4.5 in.,,,4 in.,4 in.,4 in.,4.5 in.,4.5 in.,4.5 in.,4.5 in.,4 in.,4 in.,4 in.,4.5 in.,6 in.,4 in.,3 in.,3.826 in.,3.826 in.,3.826 in.,3.826 in.,3.826 in.,3.826 in.,4 in.,4 in.,4 in.,6 in.,6 in.,4 in.,4 in.,3.826 in.,4 in.,3.826 in.,4 in.,3.73 in.,4 in.,4 in.,3 in.,3.826 in.,3.5 in.,3.5 in.
AUX. LINES ON RISER No.,2,2,2,2,4,4,4,3,1,4,4,4,4,4,4,1,3,3,4,4,4,4,4,5,5,5,3,4,2,4,1,2,1,1,2,1,2,1,1,,4,4,4,5,5,1,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,,,5,5,5,3,3,5,2,5,5,5,5,2,4,,,,,,,,,,,1 + 2,1 + 2,1 + 2,1 + 2,,,,,,4,4,3,4,5,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,5,5,5,5,,,1,1,1,1,1,1,1,1,1,1,1,1,2,5,1,2,1,2,2,2,4,4,4,5,5,5,3,3,3,2,1,1,1,1,1,1,2,3
